Korobko V. (Ukr);3

Camr F. (Cze);3
Ezr V. (Cze);2

Efimenko I. (Ukr);3
Kurchitsky V. (Ukr);1

Chelpanov S. (Ukr);3
Dombrovskyi A. (Ukr);1

Tebenko Y. (Ukr);0
Ivanov L. (Ukr);3

Vlasenko V. (Ukr);1
Zhyrnov O. (Ukr);3

Makarenko R. (Ukr);2
Kurischenko Y. (Ukr);3

Obidnyi O. (Ukr);3
Lukianov A. (Ukr);1

Skhabovskyi M. (Ukr);1
Prokhoruk I. (Ukr);3

Tarasov Y. (Ukr);2
Hladkykh A. (Ukr);3

Trachuk V. (Ukr);2
Treshchetka M. (Ukr);3

Kotov V. (Ukr);-
Malashevsky V. (Ukr);-

Kotov V. (Ukr);3
Skhabovskyi M. (Ukr);1

Lysak A. (Ukr);3
Chupovskiy A. (Ukr);2

Trachuk V. (Ukr);3
Prokhoruk I. (Ukr);1

Demidov S. (Ukr);0
Lysak A. (Ukr);3

Malashevsky V. (Ukr);-
Treshchetka M. (Ukr);-

Skhabovskyi M. (Ukr);3
Treshchetka M. (Ukr);1

Golnik A. (Ukr);2
Chupovskiy A. (Ukr);3

Trachuk V. (Ukr);-
Malashevsky V. (Ukr);-

Trachuk V. (Ukr);2
Skhabovskyi M. (Ukr);3

Golnik A. (Ukr);3
Lysak A. (Ukr);1

Kotov V. (Ukr);3
Prokhoruk I. (Ukr);2

Demidov S. (Ukr);1
Chupovskiy A. (Ukr);3

Trachuk V. (Ukr);1
Kotov V. (Ukr);3

Golnik A. (Ukr);1
Demidov S. (Ukr);3

Lysak A. (Ukr);3
Chupovskiy A. (Ukr);2

Prokhoruk I. (Ukr);3
Treshchetka M. (Ukr);0

Demidov S. (Ukr);0
Lysak A. (Ukr);3

Golnik A. (Ukr);1
Chupovskiy A. (Ukr);3

Golnik A. (Ukr);0
Lysak A. (Ukr);3

Demidov S. (Ukr);0
Chupovskiy A. (Ukr);3

Golnik A. (Ukr);2
Demidov S. (Ukr);3

Zaika B. (Ukr);1
Kuznetsov I. (Ukr);3

Tsybulin S. (Ukr);3
Cherevko R. (Ukr);2

Yanishevskiy I. (Ukr);3
Belanchik D. (Ukr);1

Tkachenko A. (Ukr);3
Holoborodko Y. (Ukr);2

Tovkach M. (Ukr);3
Hilitukha S. (Ukr);2

Verbianyi V. (Ukr);3
Baklykov A. (Ukr);1

Alekseenko D. (Ukr);1
Pirveli R. (Ukr);3

Boiko S. (Ukr);3
Shkurupii O. (Ukr);1

Brezickyi O. (Ukr);3
Vasylchuk P. (Ukr);2

Leonenko O. (Ukr);1
Myrza A. (Ukr);3

Baranovskiy S. (Ukr);0
Kats L. (Ukr);3

Nechyporuk V. (Ukr);3
Kushnir V. (Ukr);1

Tsykhotskiy A. (Ukr);2
Semeniuk I. (Ukr);3

Kostyuk A. (Ukr);2
Rubtsov E. (Ukr);3

Baranovskiy S. (Ukr);1
Cherevko R. (Ukr);3

Zaika B. (Ukr);3
Belanchik D. (Ukr);2

Isaev A. (Ukr);1
Holoborodko Y. (Ukr);3

Stasiuk B. (Ukr);0
Hilitukha S. (Ukr);3

Pismennyi Y. (Ukr);1
Baklykov A. (Ukr);3

Skachenko S. (Ukr);2
Pirveli R. (Ukr);3

Shkurupii O. (Ukr);3
Kats L. (Ukr);0

Vasylchuk P. (Ukr);2
Kuznetsov I. (Ukr);3

Tkachenko A. (Ukr);3
Leonenko O. (Ukr);2

Tovkach M. (Ukr);3
Tsykhotskiy A. (Ukr);2

Verbianyi V. (Ukr);2
Nechyporuk V. (Ukr);3

Alekseenko D. (Ukr);3
Kostyuk A. (Ukr);0

